Acronimo_t,Al_bate_2_t,Al_bate_t,Altura_t,Anio_de_agente_libre_t,Anio_t,Anios_de_contrato_t,Antiguedad_t,Bateos_2_t,Bateos_promedio_2_t,Bateos_promedio_t,Bateos_t,Bono_por_firma_t,Cantidad de equipos_t,Cantidad_agentes_libres_t,Dobles_2_t,Dobles_t,Edad_al_firmar_t,Edad_t,Equipo_t,Estado_t,Ganancias_t,Home_runs_2_t,Home_runs_t,Juegos totales_t,Juegos_iniciados_2_t,Juegos_iniciados_t,Juegos_t,Jugador,Pago_efectivo_t,Pennants won_t,Peso_t,Playoffs_t,Porcentaje_On_base_plus_slugging_2_t,Porcentaje_On_base_plus_slugging_t,Porcentaje_juegos_iniciados_2_t,Porcentaje_juegos_iniciados_t,Porcentaje_juegos_t,Porcentaje_on_base_2_t,Porcentaje_on_base_t,Porcentaje_slugging_2_t,Porcentaje_slugging_t,Posicion_t,Promedio_victorias_t,Runs_batted_in_2_t,Runs_batted_in_t,Sueldo_ajustado_t,Sueldo_base_t,Sueldo_porcentual_t,Sueldo_regular_t,TVS_2_t,TVS_t,Triples_2_t,Triples_t,Valor_contrato_promedio_t,Valor_contrato_total_t,Valor_del_contrato_t,Victorias_t,WAR_2_t,WAR_t,WS ganadas_t,ln_Sueldo_ajustado_t,ln_Sueldo_base_t,ln_Sueldo_regular_t
MIL,242064,492,6.6,2014,2011,3,1,19600,0.08122499999999999,0.285,140,333333,1,1,625,25,28,29,Milwaukee Brewers,Wisconsin,17034500,676,26,162,15129,123,130,Corey Hart,7500000,1,240.0,4,0.749956,0.866,0.5760810000000001,0.759,0.803,0.126736,0.356,0.2601,0.51,RF,0.5925925925925926,3969,63,6833333,6500000,0.074,6833333,4722.4384,68.72,16,4,8833333,775000,26500000,96,10.112400000000001,3.18,0,15.737323106660037,15.687312734865866,15.737323106660037
MIL,298116,546,6.1,0,2011,1,0,14884,0.049729,0.223,122,0,1,1,576,24,28,28,Milwaukee Brewers,Wisconsin,1360500,169,13,162,19600,140,155,Casey McGehee,468000,1,220.0,4,0.391876,0.626,0.7464959999999999,0.864,0.957,0.07840000000000001,0.28,0.11971599999999999,0.346,3B,0.5925925925925926,4489,67,468000,468000,0.005,468000,76.9129,8.77,4,2,468000,775000,468000,96,4.456119954648526,2.110952380952381,0,13.056223574899784,13.056223574899784,13.056223574899784
MIL,142884,378,6.241570881226049,0,2011,1,0,13225,0.092416,0.304,115,0,1,1,400,20,30,30,Milwaukee Brewers,Wisconsin,0,16,4,162,8100,90,119,Nyjer Morgan,0,1,215.48312611012435,4,0.605284,0.778,0.3091360000000001,0.556,0.735,0.128164,0.358,0.17724099999999998,0.421,CF,0.5925925925925926,1369,37,450000,450000,0.005,450000,3370.9636,58.06,36,6,450000,775000,450000,96,8.7025,2.95,0,13.017002861746503,13.017002861746503,13.017002861746503
MIL,184900,430,6.0,0,2011,1,1,12996,0.07022500000000001,0.265,114,0,1,1,256,16,24,25,Milwaukee Brewers,Wisconsin,1164000,144,12,162,12996,114,136,Jonathan Lucroy,424000,1,200.0,4,0.49420899999999995,0.703,0.49561599999999995,0.704,0.84,0.097969,0.313,0.15288100000000002,0.391,C,0.5925925925925926,3481,59,424000,424000,0.005,424000,476.11240000000004,21.82,1,1,424000,775000,424000,96,1.0404,1.02,0,12.957488734214095,12.957488734214095,12.957488734214095
MIL,53361,231,6.3,0,2011,1,0,2704,0.050625,0.225,52,0,1,1,121,11,25,25,Milwaukee Brewers,Wisconsin,3862500,64,8,162,3481,59,94,Carlos Gomez,1500000,1,220.0,4,0.4610410000000001,0.679,0.132496,0.364,0.58,0.07617600000000001,0.276,0.16240900000000003,0.403,CF,0.5925925925925926,576,24,1500000,1500000,0.016,1500000,0.0,0.0,9,3,1500000,775000,1500000,96,5.1529,2.27,0,14.22097566607244,14.22097566607244,14.22097566607244
MIL,12321,111,6.0,0,2011,1,1,784,0.063504,0.252,28,0,1,1,36,6,27,28,Milwaukee Brewers,Wisconsin,375000,25,5,162,961,31,49,George Kottaras,0,1,202.0,4,0.594441,0.771,0.036481,0.191,0.303,0.097344,0.312,0.210681,0.459,C,0.5925925925925926,289,17,440000,440000,0.005,440000,0.0,0.0,1,1,440000,775000,440000,96,4.456119954648526,2.110952380952381,0,12.994530005894443,12.994530005894443,12.994530005894443
MIL,4624,68,6.2,2016,2011,5,2,225,0.048841,0.221,15,250000,1,1,16,4,23,25,Milwaukee Brewers,Wisconsin,6923000,1,1,162,1089,33,33,Yovani Gallardo,3250000,1,205.0,4,0.332929,0.577,0.04161599999999999,0.204,0.204,0.064516,0.254,0.104976,0.324,RP,0.5925925925925926,16,4,3500000,3250000,0.038,3500000,3632.4729,60.27,0,0,6020000,775000,30100000,96,5.107599999999999,2.26,0,15.068273526459642,14.994165554305921,15.068273526459642
MIL,2500,50,6.4,2016,2011,1,1,169,0.06760000000000001,0.26,13,0,1,1,4,2,28,29,Milwaukee Brewers,Wisconsin,1984000,1,1,162,100,10,60,Chris Dickerson,414000,1,230.0,4,0.43033600000000005,0.656,0.0038439999999999998,0.062,0.37,0.08761599999999999,0.296,0.1296,0.36,LF,0.5925925925925926,49,7,414000,414000,0.005,414000,0.0,0.0,0,0,414000,775000,414000,96,0.09,0.3,0,12.933621252807452,12.933621252807452,12.933621252807452
MIL,3721,61,6.241570881226049,2013,2011,3,1,100,0.026896000000000003,0.164,10,0,1,1,9,3,33,34,Milwaukee Brewers,Wisconsin,62962104,0,0,162,1089,33,33,Randy Wolf,9500000,1,215.48312611012435,4,0.15288100000000002,0.391,0.04161599999999999,0.204,0.204,0.031328999999999996,0.177,0.045369,0.213,SP,0.5925925925925926,0,0,9500000,9500000,0.103,9500000,1900.96,43.6,0,0,9916667,775000,29750000,96,6.300099999999999,2.51,0,16.06680235657077,16.06680235657077,16.06680235657077
MIL,3481,59,6.0,0,2011,1,0,81,0.023409,0.153,9,0,1,1,4,2,29,29,Milwaukee Brewers,Wisconsin,6442800,1,1,162,1089,33,33,Shaun Marcum,3950000,1,215.48312611012435,4,0.207936,0.456,0.04161599999999999,0.204,0.204,0.047961,0.219,0.056169,0.237,SP,0.5925925925925926,36,6,3950000,3950000,0.043,3950000,4841.3764,69.58,0,0,3950000,775000,3950000,96,8.526399999999999,2.92,0,15.189226136877304,15.189226136877304,15.189226136877304
MIL,2401,49,6.3,0,2011,1,0,64,0.026569000000000002,0.163,8,0,1,1,4,2,29,29,Milwaukee Brewers,Wisconsin,850650,0,0,162,784,28,30,Chris Narveson,444150,1,205.0,4,0.173056,0.416,0.029928999999999997,0.173,0.185,0.044944,0.212,0.04161599999999999,0.204,RP,0.5925925925925926,25,5,444150,444150,0.005,444150,0.0,0.0,0,0,444150,775000,444150,96,0.31360000000000005,0.56,0,13.003917622197847,13.003917622197847,13.003917622197847
MIL,2401,49,6.2,2013,2011,4,2,49,0.020448999999999995,0.143,7,0,1,1,0,0,25,27,Milwaukee Brewers,Wisconsin,29897172,1,1,162,784,28,29,Zack Greinke,13500000,1,200.0,4,0.156816,0.396,0.029928999999999997,0.173,0.179,0.036864,0.192,0.04161599999999999,0.204,SP,0.5925925925925926,1,1,13500000,13500000,0.146,13500000,2072.0704,45.52,0,0,9500000,775000,38000000,96,1.9880999999999998,1.41,0,16.41820024340866,16.41820024340866,16.41820024340866
MIL,144,12,6.0,0,2011,1,0,9,0.0625,0.25,3,0,1,1,1,1,27,27,Milwaukee Brewers,Wisconsin,740808,0,0,162,49,7,43,Marco Estrada,414000,1,180.0,4,0.33988899999999994,0.583,0.0018489999999999997,0.043,0.265,0.0625,0.25,0.11088900000000002,0.333,SP,0.5925925925925926,0,0,414000,414000,0.005,414000,244.9225,15.65,0,0,414000,775000,414000,96,0.1296,0.36,0,12.933621252807452,12.933621252807452,12.933621252807452
MIL,4,2,6.0,0,2011,3,3,1,0.25,0.5,1,666667,1,1,0,0,26,29,Milwaukee Brewers,Wisconsin,57069166,0,0,162,0,0,73,Francisco Rodriguez,2450819,1,180.0,4,1.0,1.0,0.0,0.0,0.451,0.25,0.5,0.25,0.5,RP,0.5925925925925926,0,0,2450819,11500000,0.027,12166667,86.1184,9.28,0,0,12333333,775000,37000000,96,0.8835999999999999,0.94,0,14.711932812374174,16.25785759333348,16.31421055728187
MIL,9,3,6.1,0,2011,1,0,1,0.11088900000000002,0.333,1,0,1,1,0,0,24,24,Milwaukee Brewers,Wisconsin,818000,0,0,162,0,0,8,Logan Schafer,414000,1,190.0,4,0.693889,0.833,0.0,0.0,0.049,0.25,0.5,0.11088900000000002,0.333,LF,0.5925925925925926,0,0,414000,414000,0.005,414000,0.0,0.0,0,0,414000,775000,414000,96,0.0064,0.08,0,12.933621252807452,12.933621252807452,12.933621252807452
MIL,1,1,6.0,0,2011,1,0,0,0.0,0.0,0,0,1,1,0,0,24,24,Milwaukee Brewers,Wisconsin,113336,0,0,162,0,0,3,Martin Maldonado,63336,1,230.0,4,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,C,0.5925925925925926,0,0,63336,414000,0.001,414000,0.0,0.0,0,0,414000,775000,414000,96,4.456119954648526,2.110952380952381,0,11.05620916685127,12.933621252807452,12.933621252807452
