Equipo,Cantidad_agentes_libres,Valor_contrato,Acronimo,Victorias,Juegos totales,Promedio_victorias
Los Angeles Angels,4,321150000,LAA,89,162,0.5493827160493827
Detroit Tigers,3,221000000,DET,88,162,0.5432098765432098
Miami Marlins,6,203300000,MIA,69,162,0.42592592592592593
Philadelphia Phillies,7,57650000,PHI,81,162,0.5
Los Angeles Dodgers,9,44651311,LAD,86,162,0.5308641975308642
St. Louis Cardinals,5,40850000,STL,88,162,0.5432098765432098
Milwaukee Brewers,3,40250000,MIL,83,162,0.5123456790123457
Colorado Rockies,4,39900000,COL,64,162,0.3950617283950617
Minnesota Twins,4,32750000,MIN,66,162,0.4074074074074074
New York Mets,7,20400000,NYM,74,162,0.4567901234567901
Texas Rangers,4,19000000,TEX,93,162,0.5740740740740741
Washington Nationals,6,18650000,WSH,98,162,0.6049382716049383
Arizona Diamondbacks,4,17750000,ARI,81,162,0.5
Tampa Bay Rays,4,15950000,TB,90,162,0.5555555555555556
Oakland Athletics,3,15414066,OAK,94,162,0.5802469135802469
Pittsburgh Pirates,3,14500000,PIT,79,162,0.4876543209876543
Chicago Cubs,3,14150000,CHC,61,162,0.3765432098765432
New York Yankees,9,9100000,NYY,95,162,0.5864197530864198
Baltimore Orioles,5,6675000,BAL,93,162,0.5740740740740741
Boston Red Sox,3,6000000,BOS,69,162,0.42592592592592593
Cincinnati Reds,4,5100000,CIN,97,162,0.5987654320987654
Kansas City Royals,2,5000000,KC,72,162,0.4444444444444444
San Francisco Giants,3,4800000,SF,94,162,0.5802469135802469
Atlanta Braves,1,1000000,ATL,94,162,0.5802469135802469
Chicago White Sox,1,900000,CHW,85,162,0.5246913580246914
Houston Astros,1,750000,HOU,55,162,0.3395061728395062
